"Observation URL","Observation Date",Latitude,Longitude,"Device Model","Astronomical  Constellation"
https://anecdata.org/posts/view/108861,"2020-04-20 19:35:00",49.101681,16.387675,"Sony DSC-RX100M2","Ursa Minor"
https://anecdata.org/posts/view/108824,"2020-04-20 04:00:46",48.130119,-122.784576,"LG - G8x","Ursa Major"
https://anecdata.org/posts/view/108810,"2020-04-20 09:14:01",51.131043,-0.031606,"Apple / iPhone12,1","Starlink Satellites"
https://anecdata.org/posts/view/108779,"2020-04-19 21:13:08",51.851780,-2.652663,"HUAWEI / VOG-L09","Took a long exposure half way through the passing."
https://anecdata.org/posts/view/108761,"2020-04-18 13:15:01",39.481194,-76.318288,"Apple iphone 11",Gemini
https://anecdata.org/posts/view/108736,"2020-04-18 20:16:00",49.508322,5.935989,"HUAWEI / LYA-L29","Starlink 5"
https://anecdata.org/posts/view/108504,"2020-04-15 10:45:26",35.189020,-106.526184,"Canon T5",Starlink
https://anecdata.org/posts/view/108499,"2020-04-15 03:10:23",45.353211,9.127851,"HUAWEI / SNE-LX1",Ofiuco
https://anecdata.org/posts/view/108473,"2020-04-14 01:24:00",33.920714,-84.068756,"Samsung S9","Starlink Satellites"
https://anecdata.org/posts/view/108470,"2020-04-04 18:55:18",45.349998,9.126505,"HUAWEI / SNE-LX1",Boote
https://anecdata.org/posts/view/108463,"2020-04-09 19:20:13",0.000000,0.000000,"HUAWEI / SNE-LX1",Orion
https://anecdata.org/posts/view/108307,"2020-04-10 00:29:48",43.460406,-76.504348,"Meade 12"" LX200","Ursa Minor"
https://anecdata.org/posts/view/108286,"2020-04-10 16:37:45",48.132526,-122.785950,LG-G8x,"Ursa Major"
https://anecdata.org/posts/view/108273,"2020-04-10 00:52:21",39.015110,-76.669979,"Cell Phone",cassiopeia
https://anecdata.org/posts/view/107877,"2020-04-03 01:04:32",-6.183884,106.677544,"HUAWEI / HMA-L29",Scorpion
https://anecdata.org/posts/view/107877,"2020-04-03 01:04:32",-6.183884,106.677544,"HUAWEI / HMA-L29",Scorpion
https://anecdata.org/posts/view/107876,"2020-04-03 00:25:17",-6.183884,106.677544,"HUAWEI / HMA-L29",Scorpion
https://anecdata.org/posts/view/107876,"2020-04-03 00:25:17",-6.183884,106.677544,"HUAWEI / HMA-L29",Scorpion
https://anecdata.org/posts/view/107696,"2020-03-31 00:48:00",38.815113,-77.090823,"iPhone XS Max",Starlink
