observation_url,id,row_id,username,license,license_url,lat,lng,geoprivacy,hotspot,event,observed,country,county,state,municipality,postcode,observation_notes,Telescope_aperture_in_inches,Eyepiece_focal_length_used_(millimeters),Object_being_photographed,Camera_F_stop_(e_g__1_7),Exposure_speed_(decimal_seconds),ISO_number,Upload_an_image,Device_Model,Image 1,Image 2,Image 3,Image 4
"https://www.anecdata.org/posts/view/107961","107961","265181","orthdf","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.792999,-83.858002,"false","","","2020-04-04 03:19:28+0000","United States","Greene","Ohio",null,null,"- The atmospheric seeing was excellent this evening to see fine features.
- The telescope used for this image was a Celestron C11 HD Edge f/10 SCT on a CGX-L GEM tracking mount.
- Used the Pixel 4XL's normal camera capability to produce the image.  Also applied a 1.6x optical zoom to get an image that did not show vignetting from the eyepiece pupil.  
- The final image was only flipped via image proccessing software to remove the image orientation produced by the optical system.","11","10","Moon - Craters:  Tycho, Clavius, Longomontanus, and Maginus","1.7","`0.0115","63","","Google Pixel 4XL","/img/uploads/posts/24221-5e897c5ba5db5.jpg","","",""
"https://www.anecdata.org/posts/view/107960","107960","265180","orthdf","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.792999,-83.858002,"false","","","2020-04-04 03:18:30+0000","United States","Greene","Ohio",null,null,"- The atmospheric seeing was excellent this evening to see fine features.
- The telescope used for this image was a Celestron C11 HD Edge f/10 SCT on a CGX-L GEM tracking mount.
- Used the Pixel 4XL's normal camera capability to produce the image.  Also applied a 1.6x optical zoom to get an image that did not show vignetting from the eyepiece pupil.  
- The final image was only flipped via image proccessing software to remove the image orientation produced by the optical system.","11","10","Moon - Crater: Gassendi and Doppelmayer; Mare Humorum","1.7","`0.0238","101","","Google Pixel 4XL","/img/uploads/posts/24220-5e897b787773d.jpg","","",""
"https://www.anecdata.org/posts/view/107959","107959","265179","orthdf","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.793,-83.858,"false","","","2020-04-04 02:09:34+0000","United States","Greene","Ohio",null,null,"Image was taken with a waxing gibbous Moon high in the sky (approximately 80% illumination).  The telescope used for this image was a Celestron C11 HD Edge f/10 SCT on a CGX-L GEM tracking mount.  Used the Pixel 4XL's astrophotography capability to produce an image.  The exposure/processing time for the phone to yield the raw image was 4:00 minutes.  The included raw image shows vignetting from the eyepiece pupil.  Used Adobe Lightroom to crop, flip, rotate, and do some light image processing. I wanted to reduce the effects of moon glow coming from the eyepiece.  The final image shows the nebula oriented match normal vision.","11","18","Messier 42 - Orion Nebula","1.7","16.00","235","","Google Pixel 4XL","/img/uploads/posts/24218-5e8977da0081b.jpg","/img/uploads/posts/24219-5e8977dd1924e.jpg","",""
"https://www.anecdata.org/posts/view/107533","107533","263769","orthdf","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.793371,-83.857674,"false","","","2020-03-26 17:20:13+0000","United States","Greene","Ohio",null,null,"- First usage of the Google astrophotography capability on their smartphone.
- Total exposure and processing time by phone was approximately 3.5 to 4 minutes.
- Light streaks underneath Orion were from a plane turning into my FOV during the last 15 seconds of the exposure.
- Used Adobe Lightroom to only increase the contrast to reduce the effects of light pollution/sky glow along the horizon.","No telescope","N/A","Orion, the Hyades, the Pleiades, and Venus","1.7","15.00","297","","Google / Pixel 4 XL","/img/uploads/posts/23970-5e7ce502974d51585243270546.jpg","","",""
"https://www.anecdata.org/posts/view/106948","106948","261638","Snapmaster","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",30.034586,-81.520919,"false","","","2020-03-11 10:31:30+0000","United States","St. Johns","Florida",null,null,"I used a free camera app called Light Meter","5.11811","25","Saturn","4.34","8","25600","","Apple / iPhone7","/img/uploads/posts/23636-5e6a1c2ee80c61584012280565.jpg","","",""
"https://www.anecdata.org/posts/view/106620","106620","260869","StenOdenwald","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.012803,-77.087734,"false","","","2020-03-09 01:23:33+0000","United States","Montgomery","Maryland","South Kensington","`20895","This was taken through a 12x telephoto lens (aperture 20 mm) attached to the smartphone","1.0","1.0","Pleiades","1.5","4.0","800","","Galaxy S9+","/img/uploads/posts/23542-5e6627de5e6ce.jpg","","",""
"https://www.anecdata.org/posts/view/106619","106619","260868","StenOdenwald","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.012379,-77.088112,"false","","","2020-03-09 00:21:09+0000","United States","Montgomery","Maryland","South Kensington","`20895-3199","","4.5","24","Pleiades","1.5","4","800","","Galaxy S9+","/img/uploads/posts/23541-5e66273061c8a.jpg","","",""
"https://www.anecdata.org/posts/view/106462","106462","260440","cosmicmark","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",38.186903,-105.820656,"false","","","2020-03-07 02:35:02+0000","United States","Saguache","Colorado",null,null,"Almost full moon,","16","32","Moon","2.4","3","400","","","/img/uploads/posts/23450-5e63fd3172af0.jpg","/img/uploads/posts/23451-5e63fd3211445.jpg","",""
"https://www.anecdata.org/posts/view/104673","104673","255651","SCollinsAstro","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",27.907805,-82.809032,"false","","","2020-02-13 11:30:35+0000","United States","Pinellas","Florida","Largo",null,"","8","25","Moon","","","","","Apple / iPhone XS","/img/uploads/posts/22783-5e45593429d891581603114168.jpg","","",""
"https://www.anecdata.org/posts/view/104497","104497","255123","bhushank","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",18.507242,73.851806,"false","","","2020-02-09 05:31:03+0000","India",null,"Maharashtra","Khadki","`411018","Video of 2000 frames, best 1200 frames stacked in AutoStakkert, wavelet editing in Registax.
Oppo f9 pro cellphone","12","30","Moon","2","1/250","400","","OPPO / CPH1823","/img/uploads/posts/22695-5e3f9fb08a7e01581227919647.jpg","","",""
"https://www.anecdata.org/posts/view/104494","104494","255118","bhushank","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",18.520128,73.854081,"false","","","2020-02-09 05:10:22+0000","India",null,"Maharashtra","Khadki","`411018","12"" GSO Dobsonian telescope, 9mm Eyepiece, cellphone attached with basic cellphone adapter.
7 images captured, by reducing the brightness, using brightness indicator in default camera app.

Stacked in AutoStakkert.
Color saturation enhanced in GIMP.","12","9","Jupiter","2","Default","","","Redmi 3s prime","/img/uploads/posts/22694-5e3f97e0ea6031581225945377.jpg","","",""
"https://www.anecdata.org/posts/view/104408","104408","254558","StenOdenwald","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.013406,-77.087013,"false","","","2020-02-02 23:36:19+0000","United States","Montgomery","Maryland","South Kensington","`20895","","4.5","24","Venus","1.5","`0.25","11250","","Galaxy s9+","/img/uploads/posts/22561-5e3aa2f677af6.jpg","","",""
"https://www.anecdata.org/posts/view/104407","104407","254557","StenOdenwald","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.013192,-77.087563,"false","","","2020-02-02 23:36:19+0000","United States","Montgomery","Maryland","South Kensington","`20895","","4.5","24","Venus","1.5","`0.1","64","","Galaxy s9+","/img/uploads/posts/22560-5e3aa2976e2bc.jpg","","",""
"https://www.anecdata.org/posts/view/104406","104406","254556","StenOdenwald","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.012766,-77.087288,"false","","","2020-02-03 03:01:00+0000","United States","Montgomery","Maryland","South Kensington","`20895","Shot with no telescope just camera on tripod","`000","2.4","Pleiades","1.5","10","800","","Galaxy s9+","/img/uploads/posts/22559-5e3aa109bc24a.jpg","","",""
"https://www.anecdata.org/posts/view/104405","104405","254555","StenOdenwald","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.012766,-77.087563,"false","","","2020-02-02 23:26:10+0000","United States","Montgomery","Maryland","South Kensington","`20895","Photoshoped with lens blur removal to enhance craters","4.5","24","moon","1.5","`0.0004","64","","Galaxy 9s+","/img/uploads/posts/22558-5e3aa068cbca4.jpg","","",""
"https://www.anecdata.org/posts/view/104140","104140","252907","StenOdenwald","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.017244,-77.094704,"false","","","2019-11-16 12:24:11+0000","United States","Montgomery","Maryland","South Kensington","`20895-3199","exposure 1/578 sec","0","0","Moon","2.2","`0.002","25","","iPhone 6s","/img/uploads/posts/22370-5e2a47f39a45d.jpg","","",""
"https://www.anecdata.org/posts/view/104139","104139","252906","StenOdenwald","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.01767,-77.094429,"false","","","2019-11-26 23:00:52+0000","United States","Montgomery","Maryland","South Kensington","`20895-3199","Photoshoped to improve contrast.","0","0","Cygnus","1.5","10.0","640","","Galaxy s9+","/img/uploads/posts/22369-5e2a46f50d5e4.jpg","","",""
"https://www.anecdata.org/posts/view/104138","104138","252905","StenOdenwald","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.017497,-77.095116,"false","","","2019-11-26 21:17:56+0000","United States","Montgomery","Maryland","South Kensington","`20895-3199","","0","0","Orion","1.5","10.0","800","","Galaxy s9+","/img/uploads/posts/22368-5e2a462016cf8.jpg","","",""
"https://www.anecdata.org/posts/view/104137","104137","252904","StenOdenwald","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.018097,-77.093605,"false","","","2019-11-26 21:15:32+0000","United States","Montgomery","Maryland","South Kensington","`20895-3199","","0","0","Orion","1.5","4.0","800","","Galaxy s9+","/img/uploads/posts/22367-5e2a459cb0f24.jpg","","",""
"https://www.anecdata.org/posts/view/104136","104136","252903","StenOdenwald","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.01867,-77.095528,"false","","","2019-12-11 23:11:59+0000","United States","Montgomery","Maryland","South Kensington","`20895-3199","","0","0","Cygnus and Lyra","1.5","2.0","800","","Galaxy s9+","/img/uploads/posts/22366-5e2a450291dca.jpg","","",""
"https://www.anecdata.org/posts/view/104135","104135","252902","StenOdenwald","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.018097,-77.094429,"false","","","2020-01-06 23:04:59+0000","United States","Montgomery","Maryland","South Kensington","`20895-3199","exposure was 1/350 sec.  Contrast enhanced with Photoshop and a deblurr edge sharpening mask was used.","4.5","12","Moon","1.7","`0.003","64","","Samsung Galaxy s9+","/img/uploads/posts/22365-5e2a43fc3b67f.jpg","","",""
"https://www.anecdata.org/posts/view/102060","102060","244642","StenOdenwald","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.025953,-77.073589,"false","","","2018-01-14 12:10:35+0000","United States","Montgomery","Maryland","Kensington","`20895","Used a 12x telephoto clipped to smartphone. ISO=25 and let camera use its spot-metering mode on limb of moon image to set exposure speed.","1-inch","60","Moon","2.2","`0.003","","","iPhone S6","/img/uploads/posts/21222-5dcfe856d8f47.jpg","","",""
